2024-01-20 10:00:01 | user_001 | /product/phone_iphone15 | search | 120
2024-01-20 10:00:02 | user_002 | /product/laptop_macbook | direct | 85
2024-01-20 10:00:03 | user_001 | /product/phone_iphone15 | search | 30
2024-01-20 10:00:04 | user_003 | /product/phone_iphone15 | ad | 200
2024-01-20 10:00:05 | user_002 | /product/tablet_ipad | direct | 150
2024-01-20 10:00:06 | user_004 | /product/laptop_macbook | search | 90
2024-01-20 10:00:07 | user_001 | /product/tablet_ipad | direct | 60
2024-01-20 10:00:08 | user_005 | /product/phone_iphone15 | ad | 180
2024-01-20 10:01:01 | user_006 | /product/watch_applewatch | search | 45
2024-01-20 10:01:02 | user_007 | /product/earbuds_airpods | direct | 30
2024-01-20 10:01:03 | user_008 | /product/phone_iphone15 | social | 90
2024-01-20 10:01:04 | user_009 | /product/laptop_macbook | email | 120
2024-01-20 10:01:05 | user_010 | /product/tablet_ipad | search | 75
2024-01-20 10:01:06 | user_001 | /product/watch_applewatch | direct | 50
2024-01-20 10:01:07 | user_002 | /product/phone_iphone15 | search | 95
2024-01-20 10:01:08 | user_003 | /product/laptop_macbook | ad | 110
2024-01-20 10:02:01 | user_004 | /product/earbuds_airpods | social | 40
2024-01-20 10:02:02 | user_005 | /product/tablet_ipad | email | 85
2024-01-20 10:02:03 | user_006 | /product/phone_iphone15 | search | 130
2024-01-20 10:02:04 | user_007 | /product/laptop_macbook | direct | 60
2024-01-20 10:02:05 | user_008 | /product/watch_applewatch | ad | 70
2024-01-20 10:02:06 | user_009 | /product/earbuds_airpods | search | 35
2024-01-20 10:02:07 | user_010 | /product/phone_iphone15 | social | 100
2024-01-20 10:02:08 | user_001 | /product/laptop_macbook | email | 55
